date,country,continent,flights,new_cases,stringency_index
2020-01-04,Iceland,EU,53,0.0,0.0
2020-01-04,Italy,EU,1266,0.0,0.0
2020-01-04,Japan,AS,960,0.0,0.0
2020-01-04,South Korea,AS,661,0.0,0.0
2020-01-04,Kazakhstan,AS,62,0.0,0.0
2020-01-04,Lebanon,AS,72,0.0,0.0
2020-01-04,Sri Lanka,AS,81,0.0,0.0
2020-01-04,Lithuania,EU,10,0.0,0.0
2020-01-04,Luxembourg,EU,68,0.0,0.0
2020-01-04,Latvia,EU,92,0.0,0.0
2020-01-04,Malta,EU,53,0.0,0.0
2020-01-04,Malaysia,AS,746,0.0,0.0
2020-01-04,Netherlands,EU,564,0.0,0.0
2020-01-04,Norway,EU,255,0.0,0.0
2020-01-04,Philippines,AS,388,0.0,0.0
2020-01-04,Pakistan,AS,8,0.0,0.0
2020-01-04,Poland,EU,359,0.0,0.0
2020-01-04,Portugal,EU,460,0.0,0.0
2020-01-04,Qatar,AS,330,0.0,0.0
2020-01-04,Romania,EU,80,0.0,0.0
2020-01-04,Serbia,EU,52,0.0,0.0
2020-01-04,Russia,EU,1126,0.0,0.0
2020-01-04,Saudi Arabia,AS,270,0.0,0.0
2020-01-04,Sweden,EU,282,0.0,0.0
2020-01-04,Singapore,AS,478,0.0,13.89
2020-01-04,Slovenia,EU,17,0.0,0.0
2020-01-04,Slovakia,EU,18,0.0,0.0
2020-01-04,Thailand,AS,693,0.0,0.0
2020-01-04,Turkey,AS,437,0.0,0.0
2020-01-04,Taiwan,AS,484,,8.33
2020-01-04,Ukraine,EU,100,0.0,0.0
2020-01-04,Vietnam,AS,19,0.0,0.0
2020-01-05,United Arab Emirates,AS,805,0.0,0.0
2020-01-05,Armenia,AS,31,0.0,
2020-01-05,Austria,EU,364,0.0,0.0
2020-01-05,Bangladesh,AS,16,0.0,0.0
2020-01-05,Belgium,EU,384,0.0,0.0
2020-01-05,Bulgaria,EU,4,0.0,0.0
2020-01-05,Bahrain,AS,112,0.0,0.0
2020-01-05,Brunei,AS,29,0.0,0.0
2020-01-05,Belarus,EU,64,0.0,0.0
2020-01-05,Switzerland,EU,746,0.0,0.0
2020-01-05,China,AS,439,0.0,2.78
2020-01-05,Czechia,EU,190,0.0,0.0
2020-01-05,Germany,EU,2057,0.0,0.0
2020-01-05,Denmark,EU,355,0.0,0.0
2020-01-05,Estonia,EU,32,0.0,0.0
2020-01-05,Spain,EU,1368,0.0,0.0
2020-01-05,Finland,EU,238,,0.0
2020-01-05,France,EU,1485,0.0,0.0
2020-01-05,United Kingdom,EU,2559,0.0,0.0
2020-01-05,Greece,EU,159,0.0,0.0
2020-01-05,Hong Kong,AS,511,,13.89
2020-01-05,Croatia,EU,42,0.0,0.0
2020-01-05,Hungary,EU,143,0.0,0.0
2020-01-05,Indonesia,AS,36,0.0,5.56
2020-01-05,Ireland,EU,355,0.0,0.0
